video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=nYmg9_uBrXw&pp=ygUJQUkgaW4gR0lT,/@SuperMapGIS,SuperMap GIS,Day 1: Applications and Techniques of Artificial Intelligence GIS,"3,8 tis. pregleda",prije 3 godine,The last part is about the applications of ai gis i will use two uh actual projects to let you let you guys know uh how to use a ...,2024-01-29 03:52:20.748379
/watch?v=laDc9TKhpdI&pp=ygUJQUkgaW4gR0lT,/@EsriEvents,Esri Events,ArcGIS & Artificial Intelligence,"5,7 tis. pregleda",prije 3 godine,"In 2018, the DoD's Joint Artificial Intelligence Center (JAIC) selected Esri to operationalize artificial intelligence in a geospatial ...",2024-01-29 03:52:20.751934
/watch?v=gaA46aaWDuc&pp=ygUJQUkgaW4gR0lT,/@geospatialmedia,Geospatial World,Gen AI for Geospatial data: ChatGPT + Kinetica,"1,8 tis. pregleda",prije 4 mjeseca,Explore the future of data analytics with Kinetica. This video shows cutting-edge technology that converts natural language ...,2024-01-29 03:52:20.754528
/watch?v=Xts2OGnsQ7U&pp=ygUJQUkgaW4gR0lT,/@EsriEvents,Esri Events,"Geospatial AI, An Overview","9,1 tis. pregleda",prije 2 godine,"Jay Theodore, CTO - Enterprise and AI defines Geospatial AI and how it expands the power of GIS. Rohit Singh, Director, Esri ...",2024-01-29 03:52:20.759393
/watch?v=2WOXQ4JdKaw&pp=ygUJQUkgaW4gR0lT,/@MattForrest,Matt Forrest,The FUTURE of GIS: What to Expect in 2024,"2,5 tis. pregleda",prije 12 dana,"The year ahead in modern GIS is bright and in this video, I cover some of the top trends I think we will start to see in 2024.",2024-01-29 03:52:20.763683
/watch?v=wQvMQzgcNNA&pp=ygUJQUkgaW4gR0lT,/@EsriIndustries,Esri Industries,What Every GIS Professional Needs to Know about Artificial Intelligence and Machine Learning,"7,7 tis. pregleda",prije 2 godine,"The most forward-thinking organizations are making strategic investments in artificial intelligence (AI) and machine learning (ML), ...",2024-01-29 03:52:20.767310
/watch?v=QDf-zc81NSE&pp=ygUJQUkgaW4gR0lT,/@geodeltalabs,GeoDelta Labs,ChatGPT GIS Analysis Tutorial - Part 1,52 tis. pregleda,prije 11 mjeseci,"In this tutorial, you will learn how to use ChatGPT, which is large language model developed by OpenAI, to perform GIS/geospatial ...",2024-01-29 03:52:20.770645
/watch?v=PAd6b5OQr1g&pp=ygUJQUkgaW4gR0lT,/@SuperMapGIS,SuperMap GIS,Introduction to SuperMap AI GIS Technology,369 pregleda,prije 2 godine,SuperMap AI GIS Technology System Al for GIS GIS for AT Geospatial Machine Learning AI +AR Spatial Visualization for AI ...,2024-01-29 03:52:20.772930
/watch?v=2QntC2e4HpQ&pp=ygUJQUkgaW4gR0lT,/@geospatialmedia,Geospatial World,How AI is Transforming Remote Sensing Applications,"6,6 tis. pregleda",prije 10 mjeseci,Artificial Intelligence today is transforming remote sensing by improving data processing accuracy and speed. Let's look at how AI ...,2024-01-29 03:52:20.775522
/watch?v=BK2IzZZZC-k&pp=ygUJQUkgaW4gR0lT,/@MattForrest,Matt Forrest,ChatGPT for GIS | Best Use Cases + Prompts,13 tis. pregleda,prije 10 mjeseci,"ChatGPT is changing the way that many do their work, including in GIS. So how can you use ChatGPT to perform analysis in ...",2024-01-29 03:52:20.779314
/shorts/nq91jgKHNMg,/@MattForrest,Matt Forrest,The future of AI for GIS!,"7,5 tis. pregleda",prije 8 mjeseci,Generate maps with GPT? Find data from OpenStreet Map with a text input? See how @CARTOhq is using OpenAI and Google ...,2024-01-29 03:52:20.781769
/watch?v=iNHQgLw7qZc&pp=ygUJQUkgaW4gR0lT,/@geodeltalabs,GeoDelta Labs,ChatGPT Made me a Map!,171 tis. pregleda,prije 11 mjeseci,"In this video, we will discuss how we can use ChatGPT, which is large language model developed by OpenAI, helped me to ...",2024-01-29 03:52:20.784241
/watch?v=BrDYHC-RQV8&pp=ygUJQUkgaW4gR0lT,/@gnext8453,gNext,Power Grid Infrastructure Management: GIS + 3D Digital Twin + AI.,550 pregleda,prije 11 mjeseci,Data was collected by Arkansas Valley Electric Cooperative Corporation (AVECC) with Skydio Drones.,2024-01-29 03:52:20.786890
/watch?v=J1UJ08HbsSs&pp=ygUJQUkgaW4gR0lT,/@MattForrest,Matt Forrest,FASTEST Way to Learn Modern GIS and ACTUALLY Get a Job,62 tis. pregleda,prije 1 godinu,If you want to learn modern GIS fast and get a job in geospatial then this video is for you! I will share my best tips for learning ...,2024-01-29 03:52:20.790620
/watch?v=i0LdllEtYkE&pp=ygUJQUkgaW4gR0lT,/@Deep_dive_knowledge_talk,Deep dive knowledge talk,"AI for geospatial data analysis: Generative AI, GIS and Oil & Gas industry",69 pregleda,prije 2 tjedna,Artificial Intelligence (AI) is revolutionizing the oil and gas industry by improving the process of resource discovery through ...,2024-01-29 03:52:20.793618
/watch?v=CxLiDnIuSxs&pp=ygUJQUkgaW4gR0lT,/@SuperMapGIS,SuperMap GIS,Beautify Your Map Using SuperMap AI GIS,"1,1 tis. pregleda",prije 3 godine,"AI GIS is a combination of Al technology with various GIS functions, including spatial data processing and analysis algorithms ...",2024-01-29 03:52:20.796229
/watch?v=J-31pLWwNMQ&pp=ygUJQUkgaW4gR0lT,/@geospatialmedia,Geospatial World,Geospatial Technology (GIS) and 4th Industrial revolution,16 tis. pregleda,prije 6 godina,"How will Artificial Intelligence, Big Data, Internet of Things, Location change the way we live, manufacture and do business?",2024-01-29 03:52:20.800348
/watch?v=eXYg1WC93do&pp=ygUJQUkgaW4gR0lT,/@MattForrest,Matt Forrest,GIS and Python: Top Courses to Learn Geospatial Python,16 tis. pregleda,prije 1 godinu,Want to learn Python for GIS and geospatial analysis? Here are the best courses from around the internet that will help you ...,2024-01-29 03:52:28.096756
/watch?v=O1HMOJxt9Zc&pp=ygUJQUkgaW4gR0lT,/@skytoearth,Morad Ouasti,The Future of GIS with ChatGPT,"2,4 tis. pregleda",prije 11 mjeseci,ChatGPT produced a Python Script that I used on QGIS.,2024-01-29 03:52:28.098064
